identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target,cardinality
io_slot:bcftools::input::filtered_vcf,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Filtered somatic VCF (FilterMutectCalls 之后),input,,true,bcftools::input::filtered_vcf,filtered_vcf,bcftools,filtered_vcf,File,,,,,filtered_vcf,BcftoolsSomaticPostprocessWorkflow.filtered_vcf,
io_slot:bcftools::input::filtered_vcf_index,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Filtered VCF 索引,input,,true,bcftools::input::filtered_vcf_index,filtered_vcf_index,bcftools,vcf_index,File,,,,,filtered_vcf_index,BcftoolsSomaticPostprocessWorkflow.filtered_vcf_index,
io_slot:bcftools::output::filtered_vcf,IOSlot|io_slot,sister-tool-csv,Filtered (PASS) VCF,output,,false,bcftools::output::filtered_vcf,filtered_vcf,bcftools,,File,,,,,,,
io_slot:bootstrap_stability::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,bootstrap_stability::output::tabular_bio_data,tabular_bio_data,bootstrap_stability,analysis_summary,File,,,,,,,
io_slot:bootstrap_stability::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,bootstrap_stability::output::visualization_result,visualization_result,bootstrap_stability,analysis_figure,File,,,,,,,
io_slot:breast_cellchat::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,breast_cellchat::input::scrna_object_rds,scrna_object_rds,breast_cellchat,scrna_object,File,,,,,input_rds,breast_cellchat.input_rds,
io_slot:breast_cellchat::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,breast_cellchat::output::quality_control_report,quality_control_report,breast_cellchat,quality_control_report,File,,,,,,,
io_slot:breast_cellchat::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,breast_cellchat::output::visualization_result,visualization_result,breast_cellchat,analysis_figure,File,,,,,,,
io_slot:bwa::input::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,input,,false,bwa::input::clean_fastq_read,clean_fastq_read,bwa,clean_fastq_read,File,mate,r1,,clean_fastq_read_r1,,,
io_slot:bwa::input::clean_fastq_read_r1,IOSlot|io_slot,slot-model-fix-2026-07-24,clean_fastq_read_r1,input,,false,bwa::input::clean_fastq_read_r1,clean_fastq_read_r1,bwa,clean_fastq_read,File,mate,r1,,,read1,BwaMemWorkflow.read1,
io_slot:bwa::input::clean_fastq_read_r2,IOSlot|io_slot,slot-model-fix-2026-07-24,clean_fastq_read_r2,input,,false,bwa::input::clean_fastq_read_r2,clean_fastq_read_r2,bwa,clean_fastq_read,File,mate,r2,,,read2,BwaMemWorkflow.read2,
io_slot:bwa::output::aligned_bam,IOSlot|io_slot,bam-artifact-contract-fix-2026-07-22,Aligned SAM/BAM,output,,false,bwa::output::aligned_bam,aligned_bam,bwa,,File,,,,,,,
io_slot:cellranger_workflow::input::raw_fastq_read,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,RAW_SINGLE_END_FASTQ,input,,false,cellranger_workflow::input::raw_fastq_read,raw_fastq_read,cellranger_workflow,raw_fastq_read,File,mate,r1,,raw_fastq_read_r1,,,
io_slot:cellranger_workflow::input::raw_fastq_read_r1,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Raw FASTQ R1,input,,true,cellranger_workflow::input::raw_fastq_read_r1,raw_fastq_read_r1,cellranger_workflow,raw_fastq_read,File,mate,r1,,,fastq_file1,CellRangerFullPipeline.fastq_file1,
io_slot:cellranger_workflow::input::raw_fastq_read_r2,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Raw FASTQ R2,input,,true,cellranger_workflow::input::raw_fastq_read_r2,raw_fastq_read_r2,cellranger_workflow,raw_fastq_read,File,mate,r2,,,fastq_file2,CellRangerFullPipeline.fastq_file2,
io_slot:cellranger_workflow::output::aligned_bam,IOSlot|io_slot,senior-0811-tool-csv,DNA_GENOMIC_ALIGNMENT_BAM,output,,false,cellranger_workflow::output::aligned_bam,aligned_bam,cellranger_workflow,aligned_bam,File,,,,,,,
io_slot:cellranger_workflow::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,cellranger_workflow::output::quality_control_report,quality_control_report,cellranger_workflow,quality_control_report,File,,,,,,,
io_slot:cellranger_workflow::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,cellranger_workflow::output::tabular_bio_data,tabular_bio_data,cellranger_workflow,analysis_summary,File,,,,,,,
io_slot:celltype_case_control_de::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,celltype_case_control_de::input::scrna_object_rds,scrna_object_rds,celltype_case_control_de,scrna_object,File,,,,,input_rds,celltype_case_control_de.input_rds,
io_slot:celltype_case_control_de::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,celltype_case_control_de::output::quality_control_report,quality_control_report,celltype_case_control_de,quality_control_report,File,,,,,,,
io_slot:cnvkit_cnv_clinical::input::clinical_table,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,CLINICAL_DATA_EXCEL,input,,false,cnvkit_cnv_clinical::input::clinical_table,clinical_table,cnvkit_cnv_clinical,clinical_table,File,,,,,clinical_metadata,CnvkitCnvClinical.clinical_metadata,
io_slot:cnvkit_cnv_clinical::input::normal_bais,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,正常 BAI 数组,input,,true,cnvkit_cnv_clinical::input::normal_bais,normal_bais,cnvkit_cnv_clinical,bai,Array[File]+,sample_role,normal,,,normal_bais,CnvkitCnvClinical.normal_bais,array
io_slot:cnvkit_cnv_clinical::input::normal_bams,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,正常 BAM 数组,input,,true,cnvkit_cnv_clinical::input::normal_bams,normal_bams,cnvkit_cnv_clinical,aligned_bam,Array[File]+,sample_role,normal,,,normal_bams,CnvkitCnvClinical.normal_bams,array
io_slot:cnvkit_cnv_clinical::input::tumor_bais,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,肿瘤 BAI 数组,input,,true,cnvkit_cnv_clinical::input::tumor_bais,tumor_bais,cnvkit_cnv_clinical,bai,Array[File]+,sample_role,tumor,,,tumor_bais,CnvkitCnvClinical.tumor_bais,array
io_slot:cnvkit_cnv_clinical::input::tumor_bams,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,肿瘤 BAM 数组,input,,true,cnvkit_cnv_clinical::input::tumor_bams,tumor_bams,cnvkit_cnv_clinical,aligned_bam,Array[File]+,sample_role,tumor,,,tumor_bams,CnvkitCnvClinical.tumor_bams,array
io_slot:cnvkit_cnv_clinical::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,cnvkit_cnv_clinical::output::tabular_bio_data,tabular_bio_data,cnvkit_cnv_clinical,analysis_summary,File,,,,,,,
io_slot:cnvkit_cnv_clinical::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,cnvkit_cnv_clinical::output::visualization_result,visualization_result,cnvkit_cnv_clinical,analysis_figure,File,,,,,,,
io_slot:cox_model::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,cox_model::input::clinical_table,clinical_table,cox_model,clinical_table,File,,,,,clinical_xls,cox_model.clinical_xls,
io_slot:cox_model::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,cox_model::input::sample_metainfo,sample_metainfo,cox_model,sample_metainfo,File,,,,,meta_xlsx,cox_model.meta_xlsx,
io_slot:cox_model::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,cox_model::input::tabular_bio_data,tabular_bio_data,cox_model,analysis_summary,File,,,,,expr,cox_model.expr,
io_slot:cox_model::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,cox_model::output::quality_control_report,quality_control_report,cox_model,quality_control_report,File,,,,,,,
io_slot:cox_model::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,cox_model::output::tabular_bio_data,tabular_bio_data,cox_model,analysis_summary,File,,,,,,,
io_slot:dataset_downstream::input::genome_annotation,IOSlot|io_slot,senior-0811-tool-csv,REFERENCE_GENOME_FASTA,input,,true,dataset_downstream::input::genome_annotation,genome_annotation,dataset_downstream,genome_annotation,File,,,,,gene_order,dataset_downstream.gene_order,
io_slot:dataset_downstream::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,dataset_downstream::input::scrna_object_rds,scrna_object_rds,dataset_downstream,scrna_object,File,,,,,input_rds,dataset_downstream.input_rds,
io_slot:dataset_downstream::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,dataset_downstream::output::quality_control_report,quality_control_report,dataset_downstream,quality_control_report,File,,,,,,,
